Season,Bracket,Round,Home Player,Away Player,Home Score,Away Score
Spring 2018,Championship Qualifying,1R,Red Rascal,The Author,2,4
Spring 2018,Championship Qualifying,1R,Outlander,Bud The Chud,4,0
Spring 2018,Championship,QF,The Surgeon,The Author,4,0
Spring 2018,Championship,QF,Slappy Pappy,Dilly Dilly,1,4
Spring 2018,Championship,QF,The Criminal,Outlander,4,0
Spring 2018,Championship,QF,Radar,Pepe Le,4,0
Spring 2018,Championship,SF,The Surgeon,Dilly Dilly,5,1
Spring 2018,Championship,SF,The Criminal,Radar,5,0
Spring 2018,Championship,F,The Surgeon,The Criminal,6,2
Summer 2018,Championship,QF,Radar,The Author,0,4
Summer 2018,Championship,QF,Dilly Dilly,Pepe Le,4,2
Summer 2018,Championship,SF,The Criminal,The Author,5,1
Summer 2018,Championship,SF,The Surgeon,Dilly Dilly,5,1
Summer 2018,Championship,F,The Surgeon,The Criminal,4,6
Summer 2018,B Promotion Playoffs,SF,Bud The Chud,The Jig,4,0
Summer 2018,B Promotion Playoffs,SF,DJ My Q's,The Lush,,
Summer 2018,B Promotion Playoffs,F,Bud The Chud,,2,6
