Season,Bracket,Round,Home Player,Away Player,Home Score,Away Score
Spring 2018,Championship Qualifying,1R,Red Rascal,The Author,2,4
Spring 2018,Championship Qualifying,1R,Outlander,Bud The Chud,4,0
Spring 2018,Championship,QF,The Surgeon,The Author,4,0
Spring 2018,Championship,QF,Slappy Pappy,Dilly Dilly,1,4
Spring 2018,Championship,QF,The Criminal,Outlander,4,0
Spring 2018,Championship,QF,Radar,Pepe Le,4,0
Spring 2018,Championship,SF,The Surgeon,Dilly Dilly,5,1
Spring 2018,Championship,SF,The Criminal,Radar,5,0
Spring 2018,Championship,F,The Surgeon,The Criminal,6,2
Summer 2018,Championship,QF,Radar,The Author,0,4
Summer 2018,Championship,QF,Dilly Dilly,Pepe Le,4,2
Summer 2018,Championship,SF,The Criminal,The Author,5,1
Summer 2018,Championship,SF,The Surgeon,Dilly Dilly,5,1
Summer 2018,Championship,F,The Surgeon,The Criminal,4,6
Summer 2018,B Promotion Playoffs,SF,Bud The Chud,The Jig,4,0
Summer 2018,B Promotion Playoffs,SF,DJ My Q's,The Lush,4,1
Summer 2018,B Promotion Playoffs,F,Bud The Chud,DJ My Q's,2,6
Fall 2018,Championship,QF,The Criminal,Pepe Le,5,0
Fall 2018,Championship,QF,DJ My Q's,Dilly Dilly,5,1
Fall 2018,Championship,SF,Radar,The Criminal,1,6
Fall 2018,Championship,SF,The Surgeon,DJ My Q's,6,0
Fall 2018,Championship,F,The Surgeon,The Criminal,5,7
Fall 2018,A/B Playoffs,QF,The Accountant,Scooter McGooch,4,2
Fall 2018,A/B Playoffs,QF,Red Rascal,The Lush,4,2
Fall 2018,A/B Playoffs,SF,Bud The Chud,The Accountant,5,3
Fall 2018,A/B Playoffs,SF,Outlander,Red Rascal,4,5
Fall 2018,A/B Playoffs,F,Bud The Chud,Red Rascal,4,5
Winter 2019,Championship,QF,The Criminal,Pepe Le,5,1
Winter 2019,Championship,QF,Red Rascal,DJ My Q's,0,5
Winter 2019,Championship,SF,The Surgeon,The Criminal,2,6
Winter 2019,Championship,SF,Lazer Cat,DJ My Q's,3,6
Winter 2019,Championship,F,The Criminal,DJ My Q's,7,5
Winter 2019,B Promotion Playoffs,SF,Bud The Chud,Slappy Pappy,5,3
Winter 2019,B Promotion Playoffs,SF,The Lush,Outlander,3,5
Winter 2019,B Promotion Playoffs,F,Bud The Chud,Outlander,6,3
Winter 2019,C Promotion Playoffs,SF,Mac Attack,Unholy Cannoli,4,1
Winter 2019,C Promotion Playoffs,SF,Triple T,Cali Kid,4,2
Winter 2019,C Promotion Playoffs,F,Mac Attack,Triple T,5,1
Spring 2019,Championship,QF,Lazer Cat,Red Rascal,5,0
Spring 2019,Championship,QF,Outlander,Dilly Dilly,5,3
Spring 2019,Championship,SF,The Criminal,Lazer Cat,4,6
Spring 2019,Championship,SF,The Surgeon,Outlander,6,1
Spring 2019,Championship,F,The Surgeon,Lazer Cat,7,4
Spring 2019,B Promotion Playoffs,SF,Radar,Scooter McGooch,5,1
Spring 2019,B Promotion Playoffs,SF,Bud The Chud,Blademau5,4,5
Spring 2019,B Promotion Playoffs,F,Radar,Blademau5,6,2
Spring 2019,C Promotion Playoffs,SF,Triple T,Mr. Packman,4,2
